team,region_name,location_name,trip_code,set_code,set_date,wkt_coordinates,latitude,longitude,depth,site_name,reef_name,reef_habitat_name,drop_time,haul_time,equipment_frame_type,equipment_camera,equipment_stereo_camera,equipment_camera_height,equipment_arm_length,bait_preparation,bait_type,bait_oiled,visibility,current_flow_estimated,current_flow_instrumented,video_file_name,video_source,video_path,comments,message_to_annotators,bruv_image_url,splendor_image_url,reviewed_assignments,total_assignments,master_record_state
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_014,2015-11-06,010100000049F7730AF2016240AA108FC4CBB32BC0,-13.85116400,144.06079600,32.00,Northern GBR 1,13-124,slope,13:53:00,,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,,,,FP_2015_AU-P_01_PCB2_014.mp4,,,LOST,,,,0,0,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_015,2015-11-06,0101000000357D76C0F501624051BF0B5BB3AD2BC0,-13.83925900,144.06124900,23.00,Northern GBR 1,13-124,slope,14:03:00,16:29:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_015.mp4,,,"BB gone, sideways",,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_016,2015-11-06,0101000000359A5C8C01026240996379573DA82BC0,-13.82859300,144.06268900,27.00,Northern GBR 1,13-124,slope,14:11:00,,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,,,,FP_2015_AU-P_01_PCB2_016.mp4,,,LOST,,,,0,0,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_017,2015-11-06,01010000008907944D39026240F73FC05AB5AB2BC0,-13.83536800,144.06949500,8.62,Northern GBR 1,13-124,slope,14:22:00,17:03:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_017.mp4,,,BB gone,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_018,2015-11-06,0101000000F60CE19865026240BD19355F25AF2BC0,-13.84208200,144.07490200,13.00,Northern GBR 1,13-124,slope,14:30:00,17:14:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_018.mp4,,,BB gone,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_019,2015-11-06,0101000000EC1516DC0F02624033A9A10DC0AE2BC0,-13.84130900,144.06443600,13.00,Northern GBR 1,13-124,slope,16:40:00,,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_019.mp4,,,Conduit snapped,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_020,2015-11-07,0101000000689599D2FA026240BADDCB7D72BC2BC0,-13.86806100,144.09311800,14.10,Northern GBR 1,13-124,slope,08:20:00,09:34:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_020.mp4,,,BB gone,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_021,2015-11-07,0101000000588D25AC0D036240DB6AD619DFB72BC0,-13.85912400,144.09541900,12.50,Northern GBR 1,13-124,slope,08:26:00,09:46:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_021.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_022,2015-11-07,01010000008638D6C5ED026240047289230FB42BC0,-13.85167800,144.09152500,16.40,Northern GBR 1,13-124,slope,08:32:00,10:04:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_022.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_023,2015-11-07,01010000003F1D8F19A8026240C85C19541BB42BC0,-13.85177100,144.08302000,10.20,Northern GBR 1,13-124,slope,08:40:00,10:14:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_023.mp4,,,BB gone,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_024,2015-11-07,01010000004208C89750026240A20E2BDCF2B12BC0,-13.84755600,144.07233800,17.10,Northern GBR 1,13-124,slope,08:55:00,10:27:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_024.mp4,,,BB gone,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_025,2015-11-07,01010000004679E6E53003624048A98427F4BA2BC0,-13.86514400,144.09971900,15.90,Northern GBR 1,13-124,slope,09:45:00,11:12:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_025.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_026,2015-11-07,010100000042EDB77622036240F5B9DA8AFDB52BC0,-13.85545000,144.09795700,20.10,Northern GBR 1,13-124,slope,08:58:00,11:18:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_026.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_027,2015-11-07,0101000000ABCC94D6DF026240EA5A7B9FAAB22BC0,-13.84895800,144.08982400,20.40,Northern GBR 1,13-124,slope,10:11:00,,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_027.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_028,2015-11-07,0101000000AD4CF8A57E0262404DF38E5374B42BC0,-13.85245000,144.07796000,13.30,Northern GBR 1,13-124,slope,10:23:00,,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_028.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_029,2015-11-07,01010000002FFB75A73B026240DA54DD239BB32BC0,-13.85079300,144.06978200,15.00,Northern GBR 1,13-124,slope,10:34:00,11:40:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_029.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_030,2015-11-07,01010000007575C7621B0262404FEACBD24EB52BC0,-13.85411700,144.06584300,8.90,Northern GBR 1,13-124,slope,11:50:00,13:15:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_030.mp4,,,BB gone,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_031,2015-11-07,0101000000F9BB77D418026240EF59D76839B02BC0,-13.84418800,144.06553100,12.80,Northern GBR 1,13-124,slope,11:56:00,13:24:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_031.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_032,2015-11-07,0101000000DBA6785C54026240A379008BFCB22BC0,-13.84958300,144.07279800,11.00,Northern GBR 1,13-124,slope,12:52:00,13:55:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,7,,,FP_2015_AU-P_01_PCB2_032.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_033,2015-11-07,010100000024B726DD96026240FED64E9484B42BC0,-13.85257400,144.08091600,10.80,Northern GBR 1,13-124,slope,12:59:00,14:07:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_033.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_034,2015-11-07,0101000000A532C51C84026240B03A72A433B02BC0,-13.84414400,144.07862700,15.30,Northern GBR 1,13-124,slope,13:09:00,14:17:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_034.mp4,,,Bent conduit,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_035,2015-11-07,0101000000BCE7C07204026240C4EDD0B018B52BC0,-13.85370400,144.06304300,16.90,Northern GBR 1,13-124,slope,14:48:00,16:03:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_035.mp4,,,,,,,3,3,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_036,2015-11-07,010100000074081C0934026240AF27BA2EFCB82BC0,-13.86129900,144.06885200,5.60,Northern GBR 1,13-124,flat,14:55:00,16:25:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_036.mp4,,,BB gone,,,,3,3,Completed
