region_name,location_name,site_name,site_type,reef_name,protection_status,mpa_name,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,fishing_restrictions,shark_fishing_gear,region_id,location_id,site_id,reef_id
Pacific,Marshall Islands,Marshall Islands 2,I,Marshall Islands 2,openly fished,,,,,,,,3,70,187,396
Pacific,New Caledonia,Banc L'Orne,O,Banc L'Orne Reef,openly fished,,,,,,,,3,4,265,579
Pacific,New Caledonia,Ellet Bank,O,Ellet Bank Reef,openly fished,,,,,,,,3,4,267,581
Pacific,New Caledonia,Hunter Island,V,Hunter Island Reef,openly fished,,,,,,,,3,4,269,583
Pacific,New Caledonia,Matthew Island,V,Matthew Island Reef,restricted,The Coral Sea Nature Park,1292962.00,2014,>20km to next reef,high,"entrants, effort, species, gear",hook and line,3,4,268,582
Pacific,New Caledonia,New Caledonia,C,Grand Astrolabe,restricted,The Coral Sea Nature Park,1292962.00,2014,>20km to next reef,high,"entrants, effort, species, gear",hook and line; longline,3,4,182,334
Pacific,New Caledonia,New Caledonia,C,Matthew Island,restricted,The Coral Sea Nature Park,1292962.00,2014,>20km to next reef,high,"species, entrants, effort, gear",hook and line,3,4,182,458
Pacific,New Caledonia,New Caledonia,C,Petit Astrolabe,restricted,The Coral Sea Nature Park,1292962.00,2014,>20km to next reef,high,"gear, species, effort, entrants",longline; hook and line,3,4,182,393
Pacific,New Caledonia,New Caledonia,C,Southern Horn East,restricted,,,,,,"species, gear",hook and line; gillnet; spear,3,4,182,460
Pacific,New Caledonia,New Caledonia,C,Southern Horn North,restricted,The Coral Sea Nature Park,1292962.00,2014,>20km to next reef,high,"gear, species",gillnet; spear; hook and line,3,4,182,461
Pacific,New Caledonia,New Caledonia,C,Walpole Island,restricted,The Coral Sea Nature Park,1292962.00,2014,>20km to next reef,high,"gear, entrants, effort, species",hook and line; longline,3,4,182,459
Pacific,New Caledonia,Walpole Island,V,Walpole Island Reef,restricted,The Coral Sea Nature Park,1292962.00,2014,>20km to next reef,high,"entrants, species, effort, gear",longline; hook and line,3,4,266,580
Pacific,New Zealand,Kermedec North,V,Raoul Island,closed,Kermadec Islands - Raoul Island Marine Reserve,2000.00,1990,>20km to next reef,high,,,3,119,254,559
Pacific,New Zealand,Kermedec South,V,Macauley Island,closed,Kermadec Islands - Macauley Island Marine Reserve,3700.00,1990,>20km to next reef,high,,,3,119,255,560
Pacific,Niue,Beveridge Reef,A,Beveridge Reef,restricted,,,,,,"effort, gear, species",hook and line; longline; spear,3,113,225,502
