region_name,location_name,site_name,reef_name,reef_type,trip_code,trip_year,set_code,maxn,common_name,genus,species,species_group,family,event_time_mil,event_time_mins,set_lat,set_long,visibility,depth,bait,current_flow_estimated,current_flow_instrumented,reef_id,set_id,master_set_id,animal_id
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_010,1,Nurse shark,Ginglymostoma,cirratum,Shark,Ginglymostomatidae,2530182,042:10:182,24.41849000,-76.66367000,,7.00,Sardines,,,66,36362,19848,23
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,flat,FP_2015_MY_01,2015,SNTS_068,,,,,,,,,4.62190000,118.78203330,,1.50,Pilchards,,,402,1045,718,9999
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_011,1,Caribbean reef shark,Carcharhinus,perezi,Shark,Carcharhinidae,1734540,028:54:540,24.41883000,-76.67790000,,4.50,Sardines,,,66,36363,19849,24
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_011,1,Nurse shark,Ginglymostoma,cirratum,Shark,Ginglymostomatidae,263233,004:23:233,24.41883000,-76.67790000,,4.50,Sardines,,,66,36363,19849,23
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_009,1,Caribbean reef shark,Carcharhinus,perezi,Shark,Carcharhinidae,182823,003:02:823,24.41079000,-76.67307000,,9.10,Sardines,,,66,36364,19847,24
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_009,1,Nurse shark,Ginglymostoma,cirratum,Shark,Ginglymostomatidae,352455,005:52:455,24.41079000,-76.67307000,,9.10,Sardines,,,66,36364,19847,23
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_041,1,Sharpnose shark (Atlantic/Carib),Rhizoprionodon,sp.,Shark,Carcharhinidae,1282416,021:22:416,24.42653000,-76.68431000,,8.80,Sardines,,,66,36365,19852,17
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_041,3,Caribbean reef shark,Carcharhinus,perezi,Shark,Carcharhinidae,2860731,047:40:731,24.42653000,-76.68431000,,8.80,Sardines,,,66,36365,19852,24
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_043,2,Sharpnose shark (Atlantic/Carib),Rhizoprionodon,sp.,Shark,Carcharhinidae,3482947,058:02:947,24.42976000,-76.69386000,,6.70,Sardines,,,66,36366,19853,17
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_043,1,Caribbean reef shark,Carcharhinus,perezi,Shark,Carcharhinidae,1927395,032:07:395,24.42976000,-76.69386000,,6.70,Sardines,,,66,36366,19853,24
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_008,2,Caribbean reef shark,Carcharhinus,perezi,Shark,Carcharhinidae,785690,013:05:690,24.43751000,-76.71109000,,9.40,Sardines,,,66,36367,19846,24
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_012,1,Southern stingray,Hypanus,americanus,Ray,Dasyatidae,2839938,047:19:938,24.44155000,-76.72062000,,7.90,Sardines,,,66,36368,19850,28
Western Atlantic,Bahamas,Exumas,Middle,slope,FP_2018_BS_03,2018,EXM_012,1,Caribbean reef shark,Carcharhinus,perezi,Shark,Carcharhinidae,2816482,046:56:482,24.44155000,-76.72062000,,7.90,Sardines,,,66,36368,19850,24
Western Atlantic,Colombia,Cayos de Albuquerque,Albuquerque,slope,FP_2018_CO_02,2018,CAA_071,2,Caribbean reef shark,Carcharhinus,perezi,Shark,Carcharhinidae,480030,008:00:030,12.19617000,-81.86104000,,5.80,Bonito,,,800,35986,20026,24
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,back reef,FP_2015_MY_01,2015,SNTS_002,,,,,,,,,4.58236667,118.77538330,9,43.90,Pilchards,,,402,979,603,9999
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,crest,FP_2015_MY_01,2015,SNTS_003,,,,,,,,,4.58228333,118.77313330,9,7.20,Pilchards,,,402,980,604,9999
Coral Triangle,Indonesia,Bau Bau,Islands,slope,FP_2018_ID_01,2018,BBIL3_060,2,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,157391,002:37:391,-5.59895000,122.49620000,10,11.20,Pilchards,,,493,33238,18435,114
Coral Triangle,Indonesia,Bau Bau,Islands,slope,FP_2018_ID_01,2018,BBIL3_061,2,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,12964,000:12:964,-5.60334000,122.49915000,10,38.60,Pilchards,,,493,33239,18436,114
Western Atlantic,Bahamas,San Salvador,San Salvador,slope,FP_2016_BS_02,2016,SSS_027,,,,,,,,,24.11499000,-74.52996000,,7.10,Sardines,,,74,6,35,9999
Pacific,Guam,Guam,Agana,slope,HE_2010_GU_01,2010,GUAG_001,,,,,,,,,13.49469940,144.76663641,10,29.70,Pacific saury (and crushed),,,714,28851,14000,9999
Pacific,French Polynesia,Raiatea,Raiatea1,slope,FP_2017_PF_01,2017,RIT1_037,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,1916658,031:56:658,-16.76254000,-151.40358000,,11.00,Sardines,,,553,15953,20749,114
Western Atlantic,Bahamas,Conception,Conception,slope,FP_2016_BS_03,2016,CC_028,1,Caribbean reef shark,Carcharhinus,perezi,Shark,Carcharhinidae,460602,007:40:602,23.82370000,-75.12967000,,13.84,Sardines,,,64,232,12522,24
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,flat,FP_2015_MY_01,2015,SNTS_083,1,Bluespotted fantail ray,Taeniura,lymma,Ray,Dasyatidae,2234167,037:14:167,4.63471670,118.75247000,9,4.70,Pilchards,,,402,341,614,255
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_004,1,Grey reef shark,Carcharhinus,amblyrhynchos,Shark,Carcharhinidae,791899,013:11:899,-17.47332000,-149.82019000,,12.00,Yellowfin Tuna,,,470,19368,9104,257
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_004,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,3596205,059:56:205,-17.47332000,-149.82019000,,12.00,Yellowfin Tuna,,,470,19368,9104,114
Western Atlantic,Bahamas,Conception,Conception,slope,FP_2016_BS_03,2016,CC_013,1,Caribbean reef shark,Carcharhinus,perezi,Shark,Carcharhinidae,1574907,026:14:907,23.84083000,-75.13047000,,10.49,Sardines,,,64,228,20622,24
Western Atlantic,Bahamas,Conception,Conception,slope,FP_2016_BS_03,2016,CC_037,,,,,,,,,23.82930000,-75.13190000,,13.65,Sardines,,,64,230,12521,9999
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_005,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,1044799,017:24:799,-17.47239000,-149.81577000,,9.00,Yellowfin Tuna,,,470,19369,9106,114
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,slope,FP_2015_MY_01,2015,SNTS_084,,,,,,,,,4.63665000,118.74726670,9,14.60,Pilchards,,,402,1060,731,9999
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_006,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,305702,005:05:702,-17.47283000,-149.79694000,,12.00,Yellowfin Tuna,,,470,19370,9099,114
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,crest,FP_2015_MY_01,2015,SNTS_085,,,,,,,,,4.63725000,118.74075000,7,6.60,Pilchards,,,402,342,615,9999
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_007,1,Lemon shark,Negaprion,acutidens,Shark,Carcharhinidae,1385790,023:05:790,-17.47824000,-149.85048000,,20.00,Yellowfin Tuna,,,470,19371,9102,170
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_007,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,1866884,031:06:884,-17.47824000,-149.85048000,,20.00,Yellowfin Tuna,,,470,19371,9102,114
Western Atlantic,Bahamas,Conception,Conception,slope,FP_2016_BS_03,2016,CC_040,,,,,,,,,23.84959000,-75.12432000,,10.42,Sardines,,,64,246,20570,9999
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,slope,FP_2015_MY_01,2015,SNTS_088,,,,,,,,,4.63761667,118.72611670,9,15.60,Pilchards,,,402,1061,732,9999
Western Atlantic,Bahamas,Conception,Conception,slope,FP_2016_BS_03,2016,CC_024,,,,,,,,,23.84659000,-75.12765000,,11.05,Sardines,,,64,243,21329,9999
Western Atlantic,Bahamas,Conception,Conception,slope,FP_2016_BS_03,2016,CC_033,,,,,,,,,23.84504000,-75.12787000,,9.80,Sardines,,,64,258,3824,9999
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,slope,FP_2015_MY_01,2015,SNTS_091,1,Bluespotted fantail ray,Taeniura,lymma,Ray,Dasyatidae,824636,013:44:636,4.63293333,118.71173330,9,12.60,Pilchards,,,402,1062,733,255
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,slope,FP_2015_MY_01,2015,SNTS_092,1,Bluespotted fantail ray,Taeniura,lymma,Ray,Dasyatidae,1358758,022:38:758,4.62880000,118.70935000,7,15.10,Pilchards,,,402,347,620,255
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_008,2,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,597672,009:57:672,-17.48183000,-149.85567000,,11.00,Yellowfin Tuna,,,470,19372,9101,114
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,slope,FP_2015_MY_01,2015,SNTS_100,1,Bluespotted fantail ray,Taeniura,lymma,Ray,Dasyatidae,2195796,036:35:796,4.60110000,118.71162000,9,9.40,Pilchards,,,402,354,626,255
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_009,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,788868,013:08:868,-17.48298000,-149.86879000,,26.00,Yellowfin Tuna,,,470,19373,10420,114
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_010,2,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,1475520,024:35:520,-17.48171000,-149.87421000,,22.00,Yellowfin Tuna,,,470,19374,20933,114
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_001,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,992616,016:32:616,-18.47868300,146.86544500,10,12.20,Pilchards,,,230,2149,19,114
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_002,,,,,,,,,-18.47100800,146.87060500,9,17.20,Pilchards,,,230,2150,294,9999
