region_name,location_name,site_name,reef_name,reef_type,trip_code,trip_year,set_code,visibility,field_of_view,substrate_relief_sd,substrate_relief_mean,depth,ascidians,bleached_corals,bryozoa,consolidated,crinoids,halimeda,hard_coral,hydrocoral,hydroids,invertebrate_complex,macroalgae,mangrove,seagrass,soft_coral,sponge,true_anemones,unconsolidated,zoanthids,reef_id,set_id
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_128,,,,,8.40,,,,,,,,,,,,,,,,,,,340,807
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_143,,,,,35.00,,,,,,,,,,,,,,,,,,,340,822
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_146,,,,,14.30,,,,,,,,,,,,,,,,,,,340,825
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_147,,,,,13.40,,,,,,,,,,,,,,,,,,,340,826
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_153,,,,,14.40,,,,,,,,,,,,,,,,,,,340,832
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_157,,,,,14.50,,,,,,,,,,,,,,,,,,,340,836
Pacific,USA-Pacific,Palmyra Atoll,Reef,flat,LC_2015_US-P_01,2015,PYR_082,10,Open,1.7770,1.0000,0.00,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,194,36210
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_167,,,,,12.10,,,,,,,,,,,,,,,,,,,340,846
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_177,,,,,6.90,,,,,,,,,,,,,,,,,,,340,856
Western Atlantic,Belize,Riversdale,Riversdale,flat,FP_2019_BZ_01,2019,RR_001,,,,,2.23,,,,,,,,,,,,,,,,,,,802,36253
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,crest,FP_2015_MY_01,2015,KKTAR_018,,,,,5.60,,,,,,,,,,,,,,,,,,,327,882
Western Atlantic,Belize,Riversdale,Riversdale,flat,FP_2019_BZ_01,2019,RR_002,,,,,1.92,,,,,,,,,,,,,,,,,,,802,36254
Western Atlantic,Belize,Riversdale,Riversdale,flat,FP_2019_BZ_01,2019,RR_003,,,,,2.71,,,,,,,,,,,,,,,,,,,802,36255
Western Atlantic,Belize,Riversdale,Riversdale,flat,FP_2019_BZ_01,2019,RR_004,,,,,14.20,,,,,,,,,,,,,,,,,,,802,36256
Western Atlantic,Belize,Riversdale,Riversdale,flat,FP_2019_BZ_01,2019,RR_005,,,,,2.19,,,,,,,,,,,,,,,,,,,802,36257
Western Atlantic,Belize,Riversdale,Riversdale,flat,FP_2019_BZ_01,2019,RR_006,,,,,1.55,,,,,,,,,,,,,,,,,,,802,36258
Western Atlantic,Belize,Riversdale,Riversdale,flat,FP_2019_BZ_01,2019,RR_007,,,,,2.07,,,,,,,,,,,,,,,,,,,802,36259
Western Atlantic,Belize,Riversdale,Riversdale,flat,FP_2019_BZ_01,2019,RR_008,,,,,2.19,,,,,,,,,,,,,,,,,,,802,36260
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_009,,,,,11.31,,,,,,,,,,,,,,,,,,,802,36261
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_010,,,,,20.30,,,,,,,,,,,,,,,,,,,802,36262
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_011,,,,,19.23,,,,,,,,,,,,,,,,,,,802,36263
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_012,,,,,23.68,,,,,,,,,,,,,,,,,,,802,36264
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_013,,,,,10.24,,,,,,,,,,,,,,,,,,,802,36265
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,lagoon,FP_2015_MY_01,2015,KKTAR_031,,,,,6.10,,,,,,,,,,,,,,,,,,,327,895
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_014,,,,,14.05,,,,,,,,,,,,,,,,,,,802,36266
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_015,,,,,18.35,,,,,,,,,,,,,,,,,,,802,36267
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,slope,FP_2015_MY_01,2015,KKTAR_034,,,,,19.10,,,,,,,,,,,,,,,,,,,327,898
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_016,,,,,10.91,,,,,,,,,,,,,,,,,,,802,36268
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,slope,FP_2015_MY_01,2015,KKTAR_036,,,,,23.20,,,,,,,,,,,,,,,,,,,327,900
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_017,,,,,3.44,,,,,,,,,,,,,,,,,,,802,36269
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_018,,,,,2.29,,,,,,,,,,,,,,,,,,,802,36270
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_019,,,,,11.25,,,,,,,,,,,,,,,,,,,802,36271
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,slope,FP_2015_MY_01,2015,KKTAR_040,,,,,28.70,,,,,,,,,,,,,,,,,,,327,904
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_020,,,,,17.53,,,,,,,,,,,,,,,,,,,802,36272
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_021,,,,,9.14,,,,,,,,,,,,,,,,,,,802,36273
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_022,,,,,9.45,,,,,,,,,,,,,,,,,,,802,36274
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_023,,,,,15.48,,,,,,,,,,,,,,,,,,,802,36275
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_024,,,,,9.20,,,,,,,,,,,,,,,,,,,802,36276
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_025,,,,,13.29,,,,,,,,,,,,,,,,,,,802,36277
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_026,,,,,13.05,,,,,,,,,,,,,,,,,,,802,36278
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_027,,,,,12.13,,,,,,,,,,,,,,,,,,,802,36279
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_028,,,,,3.05,,,,,,,,,,,,,,,,,,,802,36280
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_029,,,,,1.83,,,,,,,,,,,,,,,,,,,802,36281
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_030,,,,,3.05,,,,,,,,,,,,,,,,,,,802,36282
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_031,,,,,1.22,,,,,,,,,,,,,,,,,,,802,36283
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_032,,,,,1.22,,,,,,,,,,,,,,,,,,,802,36284
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_033,,,,,4.57,,,,,,,,,,,,,,,,,,,802,36285
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_034,,,,,12.19,,,,,,,,,,,,,,,,,,,802,36286
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_035,,,,,9.14,,,,,,,,,,,,,,,,,,,802,36287
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_036,,,,,4.57,,,,,,,,,,,,,,,,,,,802,36288
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,crest,FP_2015_MY_01,2015,KKTAR_059,,,,,4.50,,,,,,,,,,,,,,,,,,,327,923
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,slope,FP_2015_MY_01,2015,KKTAR_060,,,,,26.90,,,,,,,,,,,,,,,,,,,327,924
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_037,,,,,10.55,,,,,,,,,,,,,,,,,,,802,36289
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_038,,,,,9.42,,,,,,,,,,,,,,,,,,,802,36290
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_039,,,,,7.50,,,,,,,,,,,,,,,,,,,802,36291
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_040,,,,,7.01,,,,,,,,,,,,,,,,,,,802,36292
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_041,,,,,7.50,,,,,,,,,,,,,,,,,,,802,36293
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_042,,,,,7.01,,,,,,,,,,,,,,,,,,,802,36294
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_043,,,,,6.77,,,,,,,,,,,,,,,,,,,802,36295
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_044,,,,,8.72,,,,,,,,,,,,,,,,,,,802,36296
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_045,,,,,9.33,,,,,,,,,,,,,,,,,,,802,36297
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,slope,FP_2015_MY_01,2015,KKTAR_069,,,,,9.20,,,,,,,,,,,,,,,,,,,327,933
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_046,,,,,7.07,,,,,,,,,,,,,,,,,,,802,36298
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_047,,,,,8.78,,,,,,,,,,,,,,,,,,,802,36299
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_048,,,,,7.44,,,,,,,,,,,,,,,,,,,802,36300
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_049,,,,,17.01,,,,,,,,,,,,,,,,,,,802,36301
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_050,,,,,4.85,,,,,,,,,,,,,,,,,,,802,36302
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_051,,,,,9.81,,,,,,,,,,,,,,,,,,,802,36303
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_052,,,,,9.63,,,,,,,,,,,,,,,,,,,802,36304
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,back reef,FP_2015_MY_01,2015,KKTAR_077,,,,,22.40,,,,,,,,,,,,,,,,,,,327,941
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_053,,,,,3.63,,,,,,,,,,,,,,,,,,,802,36305
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_054,,,,,5.06,,,,,,,,,,,,,,,,,,,802,36306
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_055,,,,,3.54,,,,,,,,,,,,,,,,,,,802,36307
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,back reef,FP_2015_MY_01,2015,KKTAR_080,,,,,13.30,,,,,,,,,,,,,,,,,,,327,944
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_056,,,,,2.41,,,,,,,,,,,,,,,,,,,802,36308
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_057,,,,,3.60,,,,,,,,,,,,,,,,,,,802,36309
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_058,,,,,6.83,,,,,,,,,,,,,,,,,,,802,36310
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_059,,,,,4.36,,,,,,,,,,,,,,,,,,,802,36311
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_060,,,,,4.54,,,,,,,,,,,,,,,,,,,802,36312
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_061,,,,,12.41,,,,,,,,,,,,,,,,,,,802,36313
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_062,,,,,8.63,,,,,,,,,,,,,,,,,,,802,36314
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_063,,,,,11.25,,,,,,,,,,,,,,,,,,,802,36315
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_064,,,,,11.16,,,,,,,,,,,,,,,,,,,802,36316
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_065,,,,,4.42,,,,,,,,,,,,,,,,,,,802,36317
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_066,,,,,8.02,,,,,,,,,,,,,,,,,,,802,36318
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_067,,,,,8.05,,,,,,,,,,,,,,,,,,,802,36319
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_068,,,,,6.71,,,,,,,,,,,,,,,,,,,802,36320
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_069,,,,,6.68,,,,,,,,,,,,,,,,,,,802,36321
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_070,,,,,5.52,,,,,,,,,,,,,,,,,,,802,36322
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_071,,,,,2.47,,,,,,,,,,,,,,,,,,,802,36323
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,slope,FP_2015_MY_01,2015,KKTAR_097,,,,,21.60,,,,,,,,,,,,,,,,,,,327,961
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_072,,,,,20.06,,,,,,,,,,,,,,,,,,,802,36324
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_073,,,,,5.09,,,,,,,,,,,,,,,,,,,802,36325
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_074,,,,,3.57,,,,,,,,,,,,,,,,,,,802,36326
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_075,,,,,3.87,,,,,,,,,,,,,,,,,,,802,36327
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_076,,,,,13.44,,,,,,,,,,,,,,,,,,,802,36328
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,back reef,FP_2015_MY_01,2015,KKTAR_104,,,,,13.70,,,,,,,,,,,,,,,,,,,327,968
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_077,,,,,5.00,,,,,,,,,,,,,,,,,,,802,36329
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,back reef,FP_2015_MY_01,2015,KKTAR_106,,,,,15.10,,,,,,,,,,,,,,,,,,,327,970
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,back reef,FP_2015_MY_01,2015,KKTAR_107,,,,,10.50,,,,,,,,,,,,,,,,,,,327,971
Coral Triangle,Malaysia,Kota Kinabalu,Tunku Abdul Rahman Park,back reef,FP_2015_MY_01,2015,KKTAR_108,,,,,9.50,,,,,,,,,,,,,,,,,,,327,972
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_078,,,,,8.63,,,,,,,,,,,,,,,,,,,802,36330
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_079,,,,,5.97,,,,,,,,,,,,,,,,,,,802,36331
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_080,,,,,5.27,,,,,,,,,,,,,,,,,,,802,36332
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_081,,,,,5.91,,,,,,,,,,,,,,,,,,,802,36333
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_082,,,,,5.94,,,,,,,,,,,,,,,,,,,802,36334
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_083,,,,,3.78,,,,,,,,,,,,,,,,,,,802,36335
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_084,,,,,7.22,,,,,,,,,,,,,,,,,,,802,36336
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_085,,,,,4.97,,,,,,,,,,,,,,,,,,,802,36337
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_086,,,,,2.53,,,,,,,,,,,,,,,,,,,802,36338
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_087,,,,,3.60,,,,,,,,,,,,,,,,,,,802,36339
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_088,,,,,3.44,,,,,,,,,,,,,,,,,,,802,36340
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_089,,,,,4.18,,,,,,,,,,,,,,,,,,,802,36341
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_090,,,,,1.86,,,,,,,,,,,,,,,,,,,802,36342
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,slope,FP_2015_MY_01,2015,SNTS_009,,,,,14.80,,,,,,,,,,,,,,,,,,,402,986
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_091,,,,,2.38,,,,,,,,,,,,,,,,,,,802,36343
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,lagoon,FP_2015_MY_01,2015,SNTS_011,,,,,23.20,,,,,,,,,,,,,,,,,,,402,988
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,lagoon,FP_2015_MY_01,2015,SNTS_012,,,,,24.60,,,,,,,,,,,,,,,,,,,402,989
Western Atlantic,Belize,Riversdale,Riversdale,back reef,FP_2019_BZ_01,2019,RR_092,,,,,8.66,,,,,,,,,,,,,,,,,,,802,36344
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,lagoon,FP_2015_MY_01,2015,SNTS_014,,,,,16.80,,,,,,,,,,,,,,,,,,,402,991
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_093,,,,,20.70,,,,,,,,,,,,,,,,,,,802,36345
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,lagoon,FP_2015_MY_01,2015,SNTS_016,,,,,10.80,,,,,,,,,,,,,,,,,,,402,993
Coral Triangle,Malaysia,Semporna Islands Park,Tun Sakaran Marine Park,lagoon,FP_2015_MY_01,2015,SNTS_017,,,,,12.20,,,,,,,,,,,,,,,,,,,402,994
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_094,,,,,12.71,,,,,,,,,,,,,,,,,,,802,36346
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_095,,,,,28.53,,,,,,,,,,,,,,,,,,,802,36347
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_096,,,,,16.89,,,,,,,,,,,,,,,,,,,802,36348
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_097,,,,,14.48,,,,,,,,,,,,,,,,,,,802,36349
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_098,,,,,28.07,,,,,,,,,,,,,,,,,,,802,36350
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_099,,,,,16.31,,,,,,,,,,,,,,,,,,,802,36351
Western Atlantic,Belize,Riversdale,Riversdale,slope,FP_2019_BZ_01,2019,RR_100,,,,,24.11,,,,,,,,,,,,,,,,,,,802,36352
