"set_id","shark_trophic_group","shark_trophic_numeric","sum_shark_trophic","set_composition"
"36430","lower order",1,1,"lower"
"36428","lower order",1,1,"lower"
"36442","lower order",1,1,"lower"
"36441","lower order",1,1,"lower"
"36434","lower order",1,1,"lower"
"36433","lower order",1,1,"lower"
"36445","lower order",1,1,"lower"
"36444","lower order",1,1,"lower"
"36463","lower order",1,1,"lower"
"25786","lower order",1,1,"lower"
"25785","lower order",1,1,"lower"
"25780","lower order",1,1,"lower"
"36515","lower order",1,1,"lower"
"36458","lower order",1,1,"lower"
"36451","lower order",1,1,"lower"
"3957","lower order",1,1,"lower"
"36494","lower order",1,1,"lower"
"3975","lower order",1,1,"lower"
"25735","lower order",1,1,"lower"
"4045","lower order",1,1,"lower"
"4129","lower order",1,1,"lower"
"4131","lower order",1,1,"lower"
"4134","lower order",1,1,"lower"
"4138","lower order",1,1,"lower"
"4200","lower order",1,1,"lower"
"4202","lower order",1,1,"lower"
"4203","lower order",1,1,"lower"
"4212","lower order",1,1,"lower"
"16334","lower order",1,1,"lower"
"3402","lower order",1,1,"lower"
"3403","lower order",1,1,"lower"
"3418","lower order",1,1,"lower"
"3432","lower order",1,1,"lower"
"15767","lower order",1,1,"lower"
"16331","lower order",1,1,"lower"
"25760","lower order",1,1,"lower"
"25754","lower order",1,1,"lower"
"25753","lower order",1,1,"lower"
"25729","lower order",1,1,"lower"
"25728","lower order",1,1,"lower"
"25800","lower order",1,1,"lower"
"14354","lower order",1,1,"lower"
"2661","apex",2,2,"apex"
"9146","lower order",1,1,"lower"
"9147","lower order",1,1,"lower"
"9148","lower order",1,1,"lower"
"9149","lower order",1,1,"lower"
"24021","lower order",1,1,"lower"
"2664","lower order",1,1,"lower"
"9157","lower order",1,1,"lower"
"9186","lower order",1,1,"lower"
"2677","lower order",1,1,"lower"
"9203","lower order",1,1,"lower"
"9227","lower order",1,1,"lower"
"9241","lower order",1,1,"lower"
"9250","lower order",1,1,"lower"
"9265","lower order",1,1,"lower"
"9267","lower order",1,1,"lower"
"9269","lower order",1,1,"lower"
"9272","lower order",1,1,"lower"
"9278","lower order",1,1,"lower"
"9281","lower order",1,1,"lower"
"2683","apex",2,2,"apex"
"9319","lower order",1,1,"lower"
"9333","lower order",1,1,"lower"
"9339","lower order",1,1,"lower"
"2698","lower order",1,3,"apex"
"2698","apex",2,3,"apex"
"24026","lower order",1,1,"lower"
"7507","lower order",1,1,"lower"
"7533","lower order",1,1,"lower"
"8751","lower order",1,1,"lower"
"8752","lower order",1,1,"lower"
"5956","lower order",1,1,"lower"
"5958","lower order",1,1,"lower"
"5960","lower order",1,1,"lower"
"5961","lower order",1,1,"lower"
"5962","lower order",1,1,"lower"
"5964","lower order",1,1,"lower"
"5966","lower order",1,1,"lower"
"5967","lower order",1,1,"lower"
"5971","lower order",1,1,"lower"
"5974","lower order",1,1,"lower"
"6016","lower order",1,1,"lower"
"6019","lower order",1,1,"lower"
"9402","lower order",1,1,"lower"
"9407","lower order",1,1,"lower"
"9413","lower order",1,1,"lower"
"9417","lower order",1,1,"lower"
"9429","lower order",1,1,"lower"
"8919","lower order",1,1,"lower"
"8921","lower order",1,1,"lower"
"8923","lower order",1,1,"lower"
"8924","lower order",1,1,"lower"
"8925","lower order",1,1,"lower"
"8926","lower order",1,1,"lower"
"32369","lower order",1,1,"lower"
"32370","lower order",1,1,"lower"
"4877","lower order",1,1,"lower"
"9204","lower order",1,1,"lower"
"9132","lower order",1,1,"lower"
"32374","lower order",1,1,"lower"
"4873","lower order",1,1,"lower"
"4875","lower order",1,1,"lower"
"9189","lower order",1,1,"lower"
"9190","lower order",1,1,"lower"
"9205","lower order",1,1,"lower"
"9214","lower order",1,1,"lower"
"9225","lower order",1,1,"lower"
"9226","lower order",1,1,"lower"
"9234","lower order",1,1,"lower"
"9236","lower order",1,1,"lower"
"9239","lower order",1,1,"lower"
"9245","lower order",1,1,"lower"
"9247","lower order",1,1,"lower"
"9266","lower order",1,1,"lower"
"9271","lower order",1,1,"lower"
"9273","lower order",1,1,"lower"
"9274","lower order",1,1,"lower"
"9283","lower order",1,1,"lower"
"9341","lower order",1,1,"lower"
"36849","lower order",1,1,"lower"
"36851","lower order",1,1,"lower"
"36852","lower order",1,1,"lower"
"36855","lower order",1,1,"lower"
"36856","lower order",1,1,"lower"
"36857","lower order",1,1,"lower"
"36858","lower order",1,1,"lower"
"36859","lower order",1,1,"lower"
"36860","lower order",1,1,"lower"
"36861","lower order",1,1,"lower"
"36863","lower order",1,1,"lower"
"36865","lower order",1,1,"lower"
"36866","lower order",1,1,"lower"
"36868","lower order",1,1,"lower"
"36869","lower order",1,1,"lower"
"36870","lower order",1,1,"lower"
"36872","lower order",1,1,"lower"
"36871","lower order",1,1,"lower"
"36899","lower order",1,1,"lower"
"36887","lower order",1,1,"lower"
"36889","lower order",1,1,"lower"
"36900","lower order",1,1,"lower"
"36890","lower order",1,1,"lower"
