"set_lat","set_long","set_id","reef_id","location_id","region_id","mpa_compliance","Shark_fishing_restrictions","Shark_Protection_Status","Shark_Sanctuary","HDI","Government_Effectiveness","Population","Grav_Total","maxn","ingestion_C_g_day","mpa_present","Area_limits","Entrants_limits","Gear_limits","Species_limits","Catch_limits","Size_limits","Temporal_limits","mult_outcomes"
-16.96303,178.99966,"20533","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.96229,178.99995,"20530","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.962078,179.000104,"20622","604","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"1","1","1","0","1","0","0","0",0
-16.96094,178.99924,"20552","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.960541,179.000179,"20619","604","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"1","1","1","0","1","0","0","0",0
-16.9597833,178.9987667,"19443","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.95927,178.99956,"4877","604","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,1,72,"1","1","1","0","1","0","0","0",0
-16.95898,178.99927,"20549","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,1,169.6706,"0","1","1","0","1","0","0","0",0
-16.95881,178.99942,"19503","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.9581,178.99944,"19504","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.9579,179.00085,"20529","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,1,253,"0","1","1","0","1","0","0","0",0
-16.9575333,178.9991667,"19442","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.9574,178.99962,"20551","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.95652,178.99997,"19505","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.95643,179.00029,"20548","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.95519,179.00032,"19506","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.9550167,178.9995333,"19441","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.95471,179.00009,"20550","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
-16.95402,179.00032,"19507","603","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.17183289571948,0,0,"0","1","1","0","1","0","0","0",0
